audio	sentence	gender	duration	path
03-200924-222234_bem_798_elicit_13.wav	kafundisha wa cipingo mukwafwilisha atile kuli amashiwi yane ngaya	Female	6.397875	/home/csikasote/Documents/bemgen/audio/03-200924-222234_bem_798_elicit_13.wav
04-200917-201407_bem_346_elicit_16.wav	ninshi uyo muntu asanguka e munobe waumfwa	Female	4.4694375	/home/csikasote/Documents/bemgen/audio/04-200917-201407_bem_346_elicit_16.wav
22_2124_1_222_02_211110-081343_bem_004_elicit_0.wav	uyu mupila batila rugby abasungu 	female	3.902	/home/csikasote/Documents/bigcgen/audio/22_2124_1_222_02_211110-081343_bem_004_elicit_0.wav
21_1845_2_211_01_211112-145754_bem_83a_elicit_1.wav	shitata nafwala icakucinga kumutwe elyo banamayo umo nakwata umushishi wabuta elyo umbi isha fita 	female	8.597999999999999	/home/csikasote/Documents/bigcgen/audio/21_1845_2_211_01_211112-145754_bem_83a_elicit_1.wav
03-200924-222234_bem_798_elicit_42.wav	ilyo umo aba umwina kristu ninshi akumbinkanwa ku mubili wakwa kristu na cimbi icikope ca kutila ninshi akumbinkaniwa mu lupwa lwakwa lesa	Female	11.661375	/home/csikasote/Documents/bemgen/audio/03-200924-222234_bem_798_elicit_42.wav
9_5761_0_91_01_211029-135846_bem_901_elicit_0.wav	umwana mulumendo naikala panse pakapuna mupepi netebulo munshita ya kasuba 	female	6.443	/home/csikasote/Documents/bigcgen/audio/9_5761_0_91_01_211029-135846_bem_901_elicit_0.wav
06-200917-110207_bem_c20_elicit_4.wav	elyo nako akati nkesa mailo we mfumu pantu lelo lyena ninjikutisha	Female	6.4205625	/home/csikasote/Documents/bemgen/audio/06-200917-110207_bem_c20_elicit_4.wav
27_8965_3_272_02_211112-220250_bem_e72_elicit_1.wav	naposako amano kuli banjo yakwe ifilemoneka fikumo kulandu wa malaiti yali pa muulu 	female	7.372999999999999	/home/csikasote/Documents/bigcgen/audio/27_8965_3_272_02_211112-220250_bem_e72_elicit_1.wav
03-201001-100406_bem_798_elicit_3.wav	kabili abati amaano yafuma mwifwasa yaya mu culu	Female	4.8324375	/home/csikasote/Documents/bemgen/audio/03-201001-100406_bem_798_elicit_3.wav
03-200916-120506_bem_798_elicit_14.wav	uyu mweshi baulumbanya abati ni shinde bulale namucipe	Female	6.4205625	/home/csikasote/Documents/bemgen/audio/03-200916-120506_bem_798_elicit_14.wav
31_10174_4_311_01_220127-160510_bem_eb0_elicit_2.wav	uyu umwaume alemoneka alebika elyo no kuwaminisha icipampa pali ici icibumba icitali apali ifilembo ifikalamba uku ninshi nasansamina no kusansamina 	female	14.678	/home/csikasote/Documents/bigcgen/audio/31_10174_4_311_01_220127-160510_bem_eb0_elicit_2.wav
2_4127_1_22_02_211026-190414_bem_cee_elicit_0.wav	nanyanta pa kakunyantapo namoolu yabili elyo afwele fye kaputula yabutulukila 	female	7.213999999999999	/home/csikasote/Documents/bigcgen/audio/2_4127_1_22_02_211026-190414_bem_cee_elicit_0.wav
21_1724_4_211_01_211111-101020_bem_83a_elicit_2.wav	nalimo kuti baba lupwa pantu pali bashitata bana mayo elyo no mwana umukashana baleendela pamo ninshi banamayo nabasenda fimo ku minwe 	female	11.321	/home/csikasote/Documents/bigcgen/audio/21_1724_4_211_01_211111-101020_bem_83a_elicit_2.wav
11-201011-181911_bem_c4b_elicit_1.wav	bana ni a ni e ni i ni o ni u ni uulu waululamo	Female	10.572375	/home/csikasote/Documents/bemgen/audio/11-201011-181911_bem_c4b_elicit_1.wav
03-200921-112400_bem_798_elicit_16.wav	umuntu onse alikwata insambu shakukwata ubwampano ubusuma kabili ubwacingililwa no lupwa lwakwe ifibusa na batemwikwa bakwe	Female	11.34375	/home/csikasote/Documents/bemgen/audio/03-200921-112400_bem_798_elicit_16.wav
